Região,Ano,Mês,Energia
Brasil,2009,Abril,32042792.8
Norte,2009,Abril,1919027
Nordeste,2009,Abril,5307847
Sudeste,2009,Abril,17027530
Sul,2009,Abril,5671556
Centro-Oeste,2009,Abril,2116832.8
Brasil,2008,Abril,31952656.29
Norte,2008,Abril,1888899
Nordeste,2008,Abril,5266621.29
Sudeste,2008,Abril,17284914
Sul,2008,Abril,5604344
Centro-Oeste,2008,Abril,1907878
Brasil,2007,Abril,32030744
Norte,2007,Abril,1832867
Nordeste,2007,Abril,5117947
Sudeste,2007,Abril,17761372
Sul,2007,Abril,5404659
Centro-Oeste,2007,Abril,1913899
Brasil,2006,Abril,29887953.009999998
Norte,2006,Abril,1733653.3900000001
Nordeste,2006,Abril,4856338.37
Sudeste,2006,Abril,16494218.43
Sul,2006,Abril,5062542.87
Centro-Oeste,2006,Abril,1741199.9499999997
Brasil,2005,Abril,29355501.910000008
Norte,2005,Abril,1651886.5100000002
Nordeste,2005,Abril,4675415.4799999995
Sudeste,2005,Abril,16304407.599999998
Sul,2005,Abril,4997008.14
Centro-Oeste,2005,Abril,1726784.1800000002
Brasil,2004,Abril,28046182.351
Norte,2004,Abril,1598862.11
Nordeste,2004,Abril,4461999.48
Sudeste,2004,Abril,15501322.96
Sul,2004,Abril,4873311.140000001
Centro-Oeste,2004,Abril,1610686.661
Brasil,2024,Maio,0
Norte,2024,Maio,0
Nordeste,2024,Maio,0
Sudeste,2024,Maio,0
Sul,2024,Maio,0
Centro-Oeste,2024,Maio,0
Brasil,2023,Maio,43164881.79900002
Norte,2023,Maio,3393481.43
Nordeste,2023,Maio,7940968.289
Sudeste,2023,Maio,20584052.929999996
Sul,2023,Maio,7868683.14
Centro-Oeste,2023,Maio,3377696.0100000002
Brasil,2022,Maio,42050012.731000006
Norte,2022,Maio,3100010.501
Nordeste,2022,Maio,7269431.8500000015
Sudeste,2022,Maio,20788847.08
Sul,2022,Maio,7536736.120000001
Centro-Oeste,2022,Maio,3354987.18
Brasil,2021,Maio,40784637.999999985
Norte,2021,Maio,3053068.8200000003
Nordeste,2021,Maio,6974430.130000002
Sudeste,2021,Maio,19953594.76
Sul,2021,Maio,7579901.759999999
Centro-Oeste,2021,Maio,3223642.53
Brasil,2020,Maio,36129788.54010001
Norte,2020,Maio,2656714.05
Nordeste,2020,Maio,6362263.010000001
Sudeste,2020,Maio,17378115.140000004
Sul,2020,Maio,6672169.1400999995
Centro-Oeste,2020,Maio,3060527.2
Brasil,2019,Maio,40487228.46
Norte,2019,Maio,2688743.06
Nordeste,2019,Maio,7061639.58
Sudeste,2019,Maio,20187002.549999997
Sul,2019,Maio,7374881.39
Centro-Oeste,2019,Maio,3174961.88
Brasil,2018,Maio,39267849.54999999
Norte,2018,Maio,2666894.6700000004
Nordeste,2018,Maio,6660480.090000001
Sudeste,2018,Maio,19736423.810000006
Sul,2018,Maio,7190266.670000001
Centro-Oeste,2018,Maio,3013784.3099999996
Brasil,2017,Maio,38159955.32
Norte,2017,Maio,2934453
Nordeste,2017,Maio,6677706.97
Sudeste,2017,Maio,18885259.02
